Bolge,Train_P,Train_N,SPW,OOF_F1,Threshold,AUC,PR_AUC,F1,Precision,Recall,Test_P,Test_N
MED,6275,33251,5.3,0.5216788067984738,0.6500000000000001,0.6550496910315395,0.1826280045635267,0.06960556844547564,0.30927835051546393,0.0392156862745098,2295,19185
CON,5510,30650,5.56,0.4087748903138711,0.4800000000000001,0.6473339324901826,0.14203775298643384,0.14269535673839184,0.13968957871396895,0.14583333333333334,432,3848
BLK,639,3734,5.84,0.310463779225757,0.49000000000000005,0.6998266077224261,0.1863160653857902,0.26917293233082706,0.1711281070745698,0.6302816901408451,284,2313
GLOBAL,12424,67635,5.44,0.44004459651685823,0.6000000000000002,0.6642424343597398,0.16731052185545348,0.12415956969968624,0.1909028256374914,0.09199601461308535,3011,25346
