Oran,Model,AUC,PR_AUC,F1,Precision,Recall,Threshold,Val_F1,Best_Params
1:1_ZitMevsim,XGB_v2,0.7059253370745101,0.1882411541542457,0.27446257602215934,0.16762283024418947,0.7568913982065759,0.9399999999999998,0.2701283331484153,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 700, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.15, 'gamma': 0.3, 'colsample_bytree': 0.9}"
1:1_ZitMevsim,LGB_v2,0.7044444378345708,0.19373487736189401,0.2487880550707776,0.14565476528353294,0.8522085685818664,0.9399999999999998,0.25288940395276727,
1:2,XGB_v2,0.6831583203311732,0.19917238899720777,0.2627325404086612,0.17050964868876795,0.5722351378279641,0.43999999999999995,0.2850107725453986,"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 700, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.15, 'gamma': 0.3, 'colsample_bytree': 0.9}"
1:2,LGB_v2,0.6703241550753579,0.20597445868147374,0.2539884117787126,0.1668752607425949,0.5313849219528396,0.45999999999999996,0.28243619987132745,
1:3,XGB_v2,0.7057782528267758,0.2071008333679543,0.27284367361191947,0.21003584229390682,0.389239455330455,0.35,0.3528709154509001,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.9}"
1:3,LGB_v2,0.7010792878307825,0.2062282328611889,0.2719612143599215,0.2084217975937721,0.3912321487877781,0.35,0.35298982714415683,
1:6,XGB_v2,0.7178398949243237,0.20887677010649597,0.2782243970639636,0.21428571428571427,0.39654599800730655,0.18999999999999997,0.35129911960489585,"{'subsample': 0.8, 'reg_lambda': 2, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}"
1:6,LGB_v2,0.7176554794497033,0.211503876317561,0.27181208053691275,0.23472591161555179,0.3228163400863501,0.20999999999999996,0.3644607202022844,
