Bolge,Train_P,Train_N,Val_P,Val_N,Val_F1,Threshold,AUC,PR_AUC,F1,Precision,Recall,Test_P,Test_N
MED,5948,31486,327,4842,0.3086269744835966,0.18999999999999997,0.6951674868540068,0.19879817106254066,0.27191703127532,0.21646026831785345,0.3655773420479303,2295,19185
CON,5457,30241,53,914,0.1987179487179487,0.12999999999999998,0.6582315488565488,0.14602227900219503,0.23861852433281006,0.15415821501014199,0.5277777777777778,432,3848
BLK,620,3608,19,202,0.2727272727272727,0.18999999999999997,0.777566175261687,0.2642167136896485,0.3810463968410661,0.26474622770919065,0.6795774647887324,284,2313
GLOBAL,12025,65335,399,5958,0.25946969696969696,0.19999999999999996,0.7016540498301254,0.1926431094381852,0.22426778242677825,0.19331570088963693,0.2670209232813019,3011,25346
