Bolge,Threshold,AUC,PR_AUC,Accuracy,Balanced_Acc,Precision,Recall_Sensitivity,Specificity,F1_Score,F2_Score,Brier,TP_Bulunan_Yangin,FP_Yanlis_Alarm,TN_Dogru_Guvende,FN_Kacirilan_Yangin
MED,0.22,0.7585532224646728,0.27856759420432564,0.7762569832402234,0.6867790570315522,0.25578681190429875,0.5729847494553377,0.8005733646077665,0.35368477676169985,0.4591159835207039,0.08798972375071977,1315,3826,15359,980
CON,0.09999999999999999,0.7192150082775083,0.20653747609961223,0.7883177570093458,0.611024486024486,0.2074074074074074,0.3888888888888889,0.8331600831600832,0.27053140096618356,0.3309692671394799,0.0878770026176614,168,642,3206,264
BLK,0.2,0.774724003336926,0.29942883699849737,0.8328840970350404,0.6760677554301163,0.32142857142857145,0.4753521126760563,0.8767833981841764,0.3835227272727273,0.4338046272493573,0.08772932189756291,135,285,2028,149
